policy_number,agency,county,construction_type,roof_type,construction_year,square_footage,public_protection_class,house_value, claim_amounts 
13648,C,Sonoma,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,8,$800K to $1.2M,
13649,C,Alameda,Frame,Tile,1985 and Before,Between 3000 and 4000,3,$800K to $1.2M," $177,638.12 "
13650,B,Santa Clara,Frame,Metal,1985 and Before,Between 3000 and 4000,1,Less than $400K,
13651,J,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,7,$1.6M to $2M,
13652,D,Alameda,Fire Resistive,Wood,1986 to 1999,4000 and Above,2,Less than $400K,
13653,D,San Mateo,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,1,$1.6M to $2M,
13654,B,Alameda,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,6,$1.2M to $1.6M," $237,436.14 "
13655,H,San Mateo,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,6,$1.6M to $2M," $151,827.15 "
13656,I,Santa Clara,Frame,Metal,1986 to 1999,Between 1500 and 3000,4,$1.6M to $2M,
13657,F,San Mateo,Frame,Shingle,1986 to 1999,Between 3000 and 4000,4,$1.2M to $1.6M,
13658,F,Santa Clara,Fire Resistive,Tile,1985 and Before,4000 and Above,3,Less than $400K," $49,296.16 "
13659,B,Alameda,Frame,Wood,2000 and After,Between 3000 and 4000,2,Less than $400K," $70,663.61 "
13660,D,Santa Clara,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,8,$400K to $800K,
13661,C,San Mateo,Fire Resistive,Wood,2000 and After,4000 and Above,4,$1.2M to $1.6M," $114,089.80 "
13662,I,San Mateo,Frame,Tile,1985 and Before,Below 1500,7,$400K to $800K,
13663,I,Alameda,Frame,Tile,1985 and Before,Below 1500,6,$400K to $800K," $149,427.50 "
13664,J,Santa Clara,Frame,Shingle,1985 and Before,Between 3000 and 4000,4,$1.2M to $1.6M," $161,576.51 "
13665,C,Santa Clara,Frame,Wood,2000 and After,Between 3000 and 4000,5,$1.2M to $1.6M," $168,177.63 "
13666,F,Santa Clara,Frame,Metal,2000 and After,Below 1500,5,Less than $400K,
13667,C,Santa Clara,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,1,Less than $400K," $61,046.38 "
13668,B,Solano,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,7,$1.2M to $1.6M," $181,965.38 "
13669,E,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,5,$1.2M to $1.6M,
13670,G,San Mateo,Fire Resistive,Tile,2000 and After,Below 1500,5,$1.2M to $1.6M,
13671,A,San Francisco,Fire Resistive,Shingle,1986 to 1999,Below 1500,5,$1.2M to $1.6M,
13672,E,Alameda,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,4,$1.2M to $1.6M,
13673,E,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,8,$1.6M to $2M,
13674,A,San Mateo,Frame,Tile,1986 to 1999,Between 3000 and 4000,10,Less than $400K,
13675,G,San Mateo,Frame,Wood,1985 and Before,Below 1500,8,$1.6M to $2M,
13676,C,Alameda,Fire Resistive,Shingle,1985 and Before,4000 and Above,8,$400K to $800K,
13677,H,San Francisco,Frame,Metal,1986 to 1999,4000 and Above,5,$800K to $1.2M,
13678,G,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,10,$1.6M to $2M,
13679,G,Santa Clara,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,3,$1.2M to $1.6M,
13680,G,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,7,Less than $400K,
13681,H,Santa Clara,Fire Resistive,Wood,2000 and After,4000 and Above,2,$800K to $1.2M," $115,028.43 "
13682,D,Alameda,Fire Resistive,Wood,2000 and After,4000 and Above,10,$1.2M to $1.6M,
13683,F,Alameda,Frame,Shingle,1985 and Before,4000 and Above,10,$400K to $800K,
13684,I,Santa Clara,Fire Resistive,Tile,1985 and Before,4000 and Above,5,$800K to $1.2M,
13685,C,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,5,$800K to $1.2M," $163,894.89 "
13686,E,Santa Clara,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,9,$800K to $1.2M,
13687,E,Solano,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,4,$800K to $1.2M," $144,627.06 "
13688,J,Alameda,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,10,$1.2M to $1.6M," $184,660.38 "
13689,F,San Francisco,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,4,$1.2M to $1.6M,
13690,G,Santa Clara,Frame,Metal,1985 and Before,Below 1500,9,$800K to $1.2M,
13691,B,Sonoma,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,7,$1.6M to $2M," $475,209.39 "
13692,C,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,10,$1.2M to $1.6M," $157,088.44 "
13693,H,Santa Clara,Fire Resistive,Wood,1986 to 1999,4000 and Above,8,$1.6M to $2M,
13694,F,Alameda,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,8,$1.6M to $2M," $236,759.92 "
13695,H,Marin,Frame,Shingle,2000 and After,Between 1500 and 3000,6,$1.2M to $1.6M,
13696,H,Santa Clara,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,9,$400K to $800K," $80,063.46 "
13697,D,San Mateo,Frame,Metal,2000 and After,4000 and Above,1,$800K to $1.2M,
13698,D,Santa Clara,Frame,Wood,1986 to 1999,Between 1500 and 3000,1,$400K to $800K,
13699,C,Santa Clara,Frame,Wood,2000 and After,4000 and Above,10,$1.2M to $1.6M," $160,804.04 "
13700,A,Santa Clara,Frame,Tile,2000 and After,Below 1500,8,$800K to $1.2M," $123,391.91 "
13701,H,Contra Costa,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,7,$400K to $800K,
13702,D,Contra Costa,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,9,Less than $400K," $45,180.87 "
13703,A,San Francisco,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,6,Less than $400K,
13704,D,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,10,Less than $400K," $43,673.70 "
13705,A,Alameda,Non-Combustible Masonry,Tile,2000 and After,Below 1500,2,$1.6M to $2M,
13706,J,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,2,$800K to $1.2M,
13707,F,Santa Clara,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,9,$400K to $800K,
13708,J,Marin,Non-Combustible Masonry,Tile,1985 and Before,4000 and Above,4,$400K to $800K,
13709,G,San Francisco,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,8,Less than $400K,
13710,I,Contra Costa,Frame,Metal,2000 and After,Between 3000 and 4000,3,$400K to $800K,
13711,I,San Mateo,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,9,Less than $400K,
13712,D,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,8,$400K to $800K,
13713,G,San Mateo,Frame,Metal,1985 and Before,4000 and Above,2,$1.2M to $1.6M,
13714,E,Alameda,Frame,Shingle,1985 and Before,Between 1500 and 3000,6,$1.6M to $2M,
13715,I,Contra Costa,Fire Resistive,Tile,2000 and After,4000 and Above,10,$1.2M to $1.6M,
13716,J,Solano,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,8,$800K to $1.2M," $184,927.23 "
13717,B,Solano,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,8,$1.6M to $2M," $212,261.39 "
13718,C,Sonoma,Fire Resistive,Tile,2000 and After,Below 1500,5,$400K to $800K,
13719,I,Santa Clara,Frame,Shingle,1986 to 1999,Between 3000 and 4000,8,$1.2M to $1.6M," $193,814.30 "
13720,F,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,4,$400K to $800K,
13721,H,Solano,Frame,Wood,1986 to 1999,Between 1500 and 3000,1,$1.2M to $1.6M," $510,059.71 "
13722,J,Santa Clara,Frame,Wood,2000 and After,4000 and Above,4,$1.2M to $1.6M,
13723,I,Marin,Frame,Wood,1985 and Before,Below 1500,1,Less than $400K,
13724,D,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,10,$1.6M to $2M,
13725,E,Contra Costa,Fire Resistive,Shingle,1985 and Before,Below 1500,10,$1.2M to $1.6M," $120,514.81 "
13726,D,Sonoma,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,5,$800K to $1.2M,
13727,C,Sonoma,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,8,Less than $400K,
13728,F,Alameda,Non-Combustible Masonry,Wood,2000 and After,Below 1500,1,Less than $400K,
13729,C,Santa Clara,Frame,Metal,2000 and After,Between 1500 and 3000,7,$1.6M to $2M,
13730,H,Alameda,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,5,$400K to $800K,
13731,D,Santa Clara,Frame,Shingle,1986 to 1999,Between 3000 and 4000,6,$400K to $800K," $91,435.47 "
13732,D,Sonoma,Fire Resistive,Tile,1985 and Before,Below 1500,4,Less than $400K," $53,608.65 "
13733,I,Alameda,Frame,Wood,2000 and After,Below 1500,4,$800K to $1.2M,
13734,A,Santa Clara,Frame,Metal,1986 to 1999,Between 1500 and 3000,10,Less than $400K,
13735,I,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,6,$1.2M to $1.6M,
13736,A,Santa Clara,Fire Resistive,Tile,1985 and Before,4000 and Above,1,$800K to $1.2M,
13737,F,Solano,Frame,Shingle,2000 and After,Between 3000 and 4000,1,$1.6M to $2M,
13738,E,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,8,Less than $400K,
13739,J,Contra Costa,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,9,$1.2M to $1.6M,
13740,A,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,2,$1.2M to $1.6M,
13741,A,Alameda,Frame,Wood,1985 and Before,4000 and Above,6,$1.2M to $1.6M," $220,979.72 "
13742,J,Alameda,Frame,Metal,2000 and After,4000 and Above,5,$800K to $1.2M,
13743,D,Alameda,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,7,$800K to $1.2M," $165,268.03 "
13744,B,San Francisco,Fire Resistive,Shingle,1986 to 1999,4000 and Above,4,$400K to $800K,
13745,H,Santa Clara,Frame,Tile,1985 and Before,Below 1500,6,$800K to $1.2M,
13746,E,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,2,$400K to $800K,
13747,B,Sonoma,Fire Resistive,Tile,2000 and After,Below 1500,8,$400K to $800K,
13748,C,Alameda,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,9,$1.6M to $2M,
13749,C,Santa Clara,Frame,Shingle,2000 and After,Between 3000 and 4000,6,$400K to $800K,
13750,E,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,8,$1.6M to $2M,
13751,C,San Mateo,Fire Resistive,Shingle,2000 and After,Below 1500,4,Less than $400K,
13752,E,Santa Clara,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,2,$1.6M to $2M,
13753,H,Alameda,Frame,Shingle,1986 to 1999,Below 1500,5,$800K to $1.2M," $204,358.87 "
13754,I,Alameda,Frame,Shingle,1986 to 1999,Between 3000 and 4000,1,$800K to $1.2M," $174,182.77 "
13755,F,Contra Costa,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,9,$1.6M to $2M," $163,920.81 "
13756,I,Contra Costa,Frame,Metal,2000 and After,Below 1500,2,$800K to $1.2M," $134,712.02 "
13757,F,Alameda,Frame,Shingle,1986 to 1999,4000 and Above,8,$1.2M to $1.6M," $245,493.01 "
13758,B,Contra Costa,Frame,Wood,1985 and Before,Between 1500 and 3000,10,$1.6M to $2M,
13759,I,San Mateo,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,1,Less than $400K,
13760,B,Santa Clara,Fire Resistive,Metal,2000 and After,4000 and Above,2,$1.6M to $2M,
13761,G,San Mateo,Fire Resistive,Metal,1986 to 1999,Below 1500,5,$400K to $800K,
13762,D,San Francisco,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,7,Less than $400K,
13763,J,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,10,$800K to $1.2M," $134,557.89 "
13764,H,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,6,Less than $400K,
13765,D,Santa Clara,Fire Resistive,Tile,2000 and After,Below 1500,7,$800K to $1.2M,
13766,H,San Mateo,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,5,Less than $400K,
13767,G,Alameda,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,5,$1.6M to $2M,
13768,J,Santa Clara,Fire Resistive,Tile,1985 and Before,Below 1500,8,$1.6M to $2M,
13769,E,Solano,Fire Resistive,Wood,1986 to 1999,4000 and Above,8,$1.6M to $2M," $188,568.05 "
13770,C,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,7,$400K to $800K," $113,357.73 "
13771,D,Alameda,Frame,Shingle,2000 and After,Between 1500 and 3000,3,Less than $400K," $63,234.58 "
13772,E,Santa Clara,Fire Resistive,Wood,1985 and Before,4000 and Above,3,$1.6M to $2M," $170,966.14 "
13773,C,Santa Clara,Frame,Tile,2000 and After,Between 3000 and 4000,7,$400K to $800K,
13774,I,San Francisco,Fire Resistive,Metal,1985 and Before,Below 1500,5,$1.2M to $1.6M,
13775,E,San Francisco,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,7,$400K to $800K," $70,876.36 "
13776,E,Alameda,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,4,$1.2M to $1.6M,
13777,G,Alameda,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,8,$1.6M to $2M,
13778,C,San Francisco,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,5,$1.6M to $2M,
13779,I,San Francisco,Non-Combustible Masonry,Metal,2000 and After,Below 1500,6,Less than $400K,
13780,G,Solano,Frame,Wood,2000 and After,Below 1500,3,$800K to $1.2M," $163,532.91 "
13781,D,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,6,$400K to $800K,
13782,F,Santa Clara,Frame,Tile,1985 and Before,Below 1500,6,$400K to $800K,
13783,C,Contra Costa,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,1,$1.2M to $1.6M,
13784,A,Solano,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,6,$400K to $800K,
13785,A,San Francisco,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,6,$1.2M to $1.6M," $127,924.53 "
13786,B,San Mateo,Fire Resistive,Shingle,1985 and Before,4000 and Above,1,$400K to $800K,
13787,C,Contra Costa,Fire Resistive,Wood,1986 to 1999,Below 1500,9,$400K to $800K,
13788,I,Contra Costa,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,5,$800K to $1.2M,
13789,G,Sonoma,Fire Resistive,Wood,2000 and After,4000 and Above,1,$800K to $1.2M,
13790,A,Alameda,Frame,Metal,1985 and Before,Between 1500 and 3000,9,$400K to $800K,
13791,B,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,10,$400K to $800K,
13792,F,Contra Costa,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,10,$800K to $1.2M," $114,974.24 "
13793,E,Napa,Frame,Metal,1986 to 1999,Between 1500 and 3000,3,$400K to $800K,
13794,D,Contra Costa,Frame,Shingle,1986 to 1999,Below 1500,8,$800K to $1.2M,
13795,C,Alameda,Frame,Tile,1986 to 1999,Between 1500 and 3000,8,$800K to $1.2M," $170,159.65 "
13796,I,Alameda,Frame,Wood,1986 to 1999,Between 1500 and 3000,1,$400K to $800K," $129,422.79 "
13797,E,San Francisco,Fire Resistive,Tile,1986 to 1999,Below 1500,2,$1.6M to $2M,
13798,H,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,4,$800K to $1.2M,
13799,I,Santa Clara,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,7,$1.2M to $1.6M,
13800,J,San Mateo,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,9,$1.6M to $2M,
13801,D,Solano,Fire Resistive,Shingle,2000 and After,Below 1500,9,$400K to $800K,
13802,H,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,2,$1.2M to $1.6M,
13803,H,Alameda,Frame,Metal,2000 and After,Between 3000 and 4000,2,$1.6M to $2M,
13804,D,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,9,$800K to $1.2M,
13805,B,San Francisco,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,8,$800K to $1.2M,
13806,C,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,10,$800K to $1.2M,
13807,J,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,5,$400K to $800K,
13808,B,San Francisco,Frame,Metal,1985 and Before,Between 3000 and 4000,1,$800K to $1.2M," $109,452.57 "
13809,C,Alameda,Frame,Shingle,1986 to 1999,4000 and Above,5,$1.2M to $1.6M," $226,419.48 "
13810,D,Santa Clara,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,7,$400K to $800K," $79,510.44 "
13811,B,Santa Clara,Frame,Wood,1985 and Before,Between 1500 and 3000,2,$1.2M to $1.6M,
13812,B,Santa Clara,Frame,Shingle,1986 to 1999,Between 1500 and 3000,10,$400K to $800K,
13813,H,Contra Costa,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,4,$400K to $800K,
13814,B,Sonoma,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,10,$400K to $800K," $231,335.13 "
13815,F,Contra Costa,Frame,Tile,1985 and Before,4000 and Above,4,$1.2M to $1.6M,
13816,J,Contra Costa,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,2,$400K to $800K,
13817,G,Alameda,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,7,$1.6M to $2M,
13818,B,Contra Costa,Frame,Tile,1986 to 1999,Below 1500,5,$800K to $1.2M,
13819,G,Santa Clara,Frame,Metal,1985 and Before,Between 1500 and 3000,9,$800K to $1.2M,
13820,J,San Mateo,Frame,Tile,2000 and After,Between 3000 and 4000,4,$1.2M to $1.6M,
13821,C,Solano,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,6,$1.2M to $1.6M,
13822,B,San Mateo,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,3,Less than $400K,
13823,J,Santa Clara,Frame,Metal,1985 and Before,Below 1500,3,$1.6M to $2M,
13824,E,Alameda,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,8,$800K to $1.2M,
13825,H,Santa Clara,Fire Resistive,Tile,1986 to 1999,4000 and Above,3,$800K to $1.2M," $109,723.97 "
13826,H,Santa Clara,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,4,$400K to $800K," $83,734.66 "
13827,C,San Mateo,Frame,Wood,1985 and Before,Between 3000 and 4000,7,$800K to $1.2M,
13828,F,Contra Costa,Fire Resistive,Metal,1985 and Before,4000 and Above,6,$800K to $1.2M,
13829,I,Alameda,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,10,$800K to $1.2M,
13830,A,Sonoma,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,2,$1.2M to $1.6M,
13831,I,San Francisco,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,4,$400K to $800K,
13832,D,Alameda,Frame,Wood,1985 and Before,Between 3000 and 4000,8,$400K to $800K,
13833,A,San Francisco,Frame,Metal,1985 and Before,Below 1500,1,$400K to $800K,
13834,D,Santa Clara,Frame,Metal,2000 and After,Between 1500 and 3000,7,$400K to $800K," $107,199.35 "
13835,E,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,4,$800K to $1.2M," $129,124.42 "
13836,B,Alameda,Frame,Wood,2000 and After,Between 1500 and 3000,4,$1.6M to $2M,
13837,D,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,7,Less than $400K," $52,489.63 "
13838,I,Alameda,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,3,$400K to $800K,
13839,I,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,8,Less than $400K," $46,576.99 "
13840,D,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,7,$400K to $800K,
13841,C,San Francisco,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,6,$1.6M to $2M,
13842,G,Contra Costa,Frame,Tile,1986 to 1999,4000 and Above,10,$800K to $1.2M,
13843,D,Contra Costa,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,4,$400K to $800K,
13844,J,Alameda,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,10,$800K to $1.2M,
13845,H,San Mateo,Fire Resistive,Metal,2000 and After,Below 1500,5,$1.6M to $2M,
13846,A,San Francisco,Frame,Shingle,1985 and Before,4000 and Above,8,$1.2M to $1.6M," $138,877.93 "
13847,H,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,5,$800K to $1.2M,
13848,J,San Mateo,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,1,$1.2M to $1.6M,
13849,H,Solano,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,5,$1.6M to $2M,
13850,A,Contra Costa,Frame,Shingle,2000 and After,Between 1500 and 3000,8,$1.2M to $1.6M,
13851,F,Alameda,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,10,$1.2M to $1.6M," $210,222.87 "
13852,I,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,5,$400K to $800K,
13853,F,Alameda,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,7,$1.2M to $1.6M,
13854,C,Alameda,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,6,$1.6M to $2M,
13855,B,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,4,$1.6M to $2M,
13856,C,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,1,$1.6M to $2M,
13857,H,San Mateo,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,4,$1.6M to $2M," $164,321.93 "
13858,I,Alameda,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,8,Less than $400K,
13859,F,Marin,Frame,Tile,2000 and After,4000 and Above,4,$400K to $800K," $96,898.12 "
13860,C,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,5,$1.2M to $1.6M,
13861,J,San Mateo,Frame,Shingle,1985 and Before,4000 and Above,7,$1.2M to $1.6M," $134,507.11 "
13862,I,Alameda,Fire Resistive,Shingle,1985 and Before,Below 1500,10,Less than $400K,
13863,C,Santa Clara,Frame,Shingle,1985 and Before,Below 1500,4,$800K to $1.2M,
13864,A,Contra Costa,Fire Resistive,Wood,1985 and Before,Below 1500,10,$1.2M to $1.6M,
13865,B,Solano,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,8,$800K to $1.2M,
13866,I,Alameda,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,7,$1.6M to $2M,
13867,D,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Below 1500,1,$800K to $1.2M,
13868,D,Santa Clara,Fire Resistive,Tile,1985 and Before,Between 1500 and 3000,5,$1.2M to $1.6M,
13869,G,Contra Costa,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,5,$1.6M to $2M,
13870,D,Sonoma,Fire Resistive,Shingle,1986 to 1999,4000 and Above,2,Less than $400K," $176,710.48 "
13871,C,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,9,Less than $400K,
13872,A,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Below 1500,9,$800K to $1.2M,
13873,D,Santa Clara,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,9,$400K to $800K,
13874,C,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,10,$1.6M to $2M,
13875,I,Alameda,Fire Resistive,Metal,1985 and Before,4000 and Above,2,$1.2M to $1.6M," $195,026.82 "
13876,B,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,3,$800K to $1.2M,
13877,B,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,6,Less than $400K," $73,598.62 "
13878,D,San Francisco,Frame,Metal,1985 and Before,4000 and Above,1,$1.6M to $2M,
13879,C,San Francisco,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,1,$1.6M to $2M,
13880,F,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,3,$400K to $800K," $121,635.82 "
13881,J,Marin,Frame,Shingle,1985 and Before,Between 3000 and 4000,5,$1.2M to $1.6M," $148,965.14 "
13882,D,Contra Costa,Frame,Shingle,2000 and After,Between 1500 and 3000,3,$800K to $1.2M,
13883,I,Santa Clara,Frame,Tile,2000 and After,Below 1500,1,$400K to $800K," $80,806.74 "
13884,H,Solano,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,9,$400K to $800K," $106,914.31 "
13885,F,San Mateo,Frame,Shingle,1985 and Before,4000 and Above,9,$1.2M to $1.6M," $123,793.68 "
13886,J,Santa Clara,Fire Resistive,Tile,1986 to 1999,Below 1500,6,$800K to $1.2M,
13887,E,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,8,$1.6M to $2M," $258,728.66 "
13888,C,Alameda,Frame,Metal,1985 and Before,Between 3000 and 4000,7,$1.6M to $2M,
13889,I,San Mateo,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,8,Less than $400K,
13890,B,Santa Clara,Fire Resistive,Metal,1986 to 1999,Below 1500,4,$1.6M to $2M,
13891,D,Contra Costa,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,9,$800K to $1.2M,
13892,I,Solano,Fire Resistive,Metal,1986 to 1999,Below 1500,10,$1.6M to $2M,
13893,B,Santa Clara,Frame,Metal,1985 and Before,Between 3000 and 4000,2,$400K to $800K,
13894,F,Solano,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,1,$1.6M to $2M,
13895,F,Marin,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,7,$1.2M to $1.6M,
13896,C,San Francisco,Fire Resistive,Shingle,1985 and Before,Below 1500,6,Less than $400K,
13897,G,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,10,$1.6M to $2M,
13898,E,Santa Clara,Fire Resistive,Metal,1986 to 1999,Below 1500,3,$1.2M to $1.6M," $144,890.33 "
13899,A,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,4,$800K to $1.2M,
13900,B,Santa Clara,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,3,Less than $400K," $45,046.32 "
13901,C,San Francisco,Fire Resistive,Shingle,1986 to 1999,Below 1500,2,Less than $400K,
13902,J,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,2,$1.2M to $1.6M,
13903,C,Contra Costa,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,2,$800K to $1.2M," $110,580.59 "
13904,E,Contra Costa,Frame,Metal,2000 and After,Between 3000 and 4000,2,$800K to $1.2M,
